,time_stamp,song_id,run_id,genre,artist,dna,dna_artist,url,meta
51,2021-06-10 03:55:58.852804,vaKXAop2UWjbnMHY_e8skjv,vaKXAop2UWjbnMHY,rock,the weeknd,jukebox/data/primes/Nobide_CC13_crystalcastles_soul_item_2_TRIMMED.wav,nobide,http://matlaberp2.media.mit.edu:8000/outputs/5/Nobide_CC13_crystalcastles_soul_item_2_TRIMMED_theweeknd_rock_prompt6_dur25/level_0/item_3.wav,batch2
52,2021-06-10 03:55:58.940917,vaKXAop2UWjbnMHY_JOHyAK,vaKXAop2UWjbnMHY,rock,the weeknd,jukebox/data/primes/Nobide_CC13_crystalcastles_soul_item_2_TRIMMED.wav,nobide,http://matlaberp2.media.mit.edu:8000/outputs/5/Nobide_CC13_crystalcastles_soul_item_2_TRIMMED_theweeknd_rock_prompt6_dur25/level_0/item_4.wav,batch2
53,2021-06-10 03:55:59.018763,vaKXAop2UWjbnMHY_FsDxwW,vaKXAop2UWjbnMHY,rock,the weeknd,jukebox/data/primes/Nobide_CC13_crystalcastles_soul_item_2_TRIMMED.wav,nobide,http://matlaberp2.media.mit.edu:8000/outputs/5/Nobide_CC13_crystalcastles_soul_item_2_TRIMMED_theweeknd_rock_prompt6_dur25/level_0/item_5.wav,batch2
54,2021-06-10 03:55:59.104904,Zh1a0cvVXwgQY2vO_L4v6Vn,Zh1a0cvVXwgQY2vO,house,dolly parton,jukebox/data/primes/mary_may2_dollyparton_americana_item_1_TRIMMED.wav,mary may,http://matlaberp2.media.mit.edu:8000/outputs/5/mary_may2_dollyparton_americana_item_1_TRIMMED_dollyparton_house_prompt6_dur25/level_0/item_0.wav,batch2
55,2021-06-10 03:55:59.187269,Zh1a0cvVXwgQY2vO_gdbgGY,Zh1a0cvVXwgQY2vO,house,dolly parton,jukebox/data/primes/mary_may2_dollyparton_americana_item_1_TRIMMED.wav,mary may,http://matlaberp2.media.mit.edu:8000/outputs/5/mary_may2_dollyparton_americana_item_1_TRIMMED_dollyparton_house_prompt6_dur25/level_0/item_1.wav,batch2
56,2021-06-10 03:55:59.265627,Zh1a0cvVXwgQY2vO_qrYcC4,Zh1a0cvVXwgQY2vO,house,dolly parton,jukebox/data/primes/mary_may2_dollyparton_americana_item_1_TRIMMED.wav,mary may,http://matlaberp2.media.mit.edu:8000/outputs/5/mary_may2_dollyparton_americana_item_1_TRIMMED_dollyparton_house_prompt6_dur25/level_0/item_2.wav,batch2
57,2021-06-10 03:55:59.342884,Zh1a0cvVXwgQY2vO_rjv8jF,Zh1a0cvVXwgQY2vO,house,dolly parton,jukebox/data/primes/mary_may2_dollyparton_americana_item_1_TRIMMED.wav,mary may,http://matlaberp2.media.mit.edu:8000/outputs/5/mary_may2_dollyparton_americana_item_1_TRIMMED_dollyparton_house_prompt6_dur25/level_0/item_3.wav,batch2
58,2021-06-10 03:55:59.418757,Zh1a0cvVXwgQY2vO_NgW3iD,Zh1a0cvVXwgQY2vO,house,dolly parton,jukebox/data/primes/mary_may2_dollyparton_americana_item_1_TRIMMED.wav,mary may,http://matlaberp2.media.mit.edu:8000/outputs/5/mary_may2_dollyparton_americana_item_1_TRIMMED_dollyparton_house_prompt6_dur25/level_0/item_4.wav,batch2
59,2021-06-10 03:55:59.500880,Zh1a0cvVXwgQY2vO_Ukdn9m,Zh1a0cvVXwgQY2vO,house,dolly parton,jukebox/data/primes/mary_may2_dollyparton_americana_item_1_TRIMMED.wav,mary may,http://matlaberp2.media.mit.edu:8000/outputs/5/mary_may2_dollyparton_americana_item_1_TRIMMED_dollyparton_house_prompt6_dur25/level_0/item_5.wav,batch2
60,2021-06-10 03:55:59.578833,9SQCV03f2ge9SszK_3RxASS,9SQCV03f2ge9SszK,americana,elton john,jukebox/data/primes/mary_may2_dollyparton_americana_item_1_TRIMMED.wav,mary may,http://matlaberp2.media.mit.edu:8000/outputs/5/mary_may2_dollyparton_americana_item_1_TRIMMED_eltonjohn_americana_prompt6_dur25/level_0/item_0.wav,batch2
61,2021-06-10 03:55:59.659600,9SQCV03f2ge9SszK_8UDdeF,9SQCV03f2ge9SszK,americana,elton john,jukebox/data/primes/mary_may2_dollyparton_americana_item_1_TRIMMED.wav,mary may,http://matlaberp2.media.mit.edu:8000/outputs/5/mary_may2_dollyparton_americana_item_1_TRIMMED_eltonjohn_americana_prompt6_dur25/level_0/item_1.wav,batch2
62,2021-06-10 03:55:59.736896,9SQCV03f2ge9SszK_XM5R5O,9SQCV03f2ge9SszK,americana,elton john,jukebox/data/primes/mary_may2_dollyparton_americana_item_1_TRIMMED.wav,mary may,http://matlaberp2.media.mit.edu:8000/outputs/5/mary_may2_dollyparton_americana_item_1_TRIMMED_eltonjohn_americana_prompt6_dur25/level_0/item_2.wav,batch2
63,2021-06-10 03:55:59.818715,9SQCV03f2ge9SszK_kKEfWb,9SQCV03f2ge9SszK,americana,elton john,jukebox/data/primes/mary_may2_dollyparton_americana_item_1_TRIMMED.wav,mary may,http://matlaberp2.media.mit.edu:8000/outputs/5/mary_may2_dollyparton_americana_item_1_TRIMMED_eltonjohn_americana_prompt6_dur25/level_0/item_3.wav,batch2
64,2021-06-10 03:55:59.895413,9SQCV03f2ge9SszK_rh8yU4,9SQCV03f2ge9SszK,americana,elton john,jukebox/data/primes/mary_may2_dollyparton_americana_item_1_TRIMMED.wav,mary may,http://matlaberp2.media.mit.edu:8000/outputs/5/mary_may2_dollyparton_americana_item_1_TRIMMED_eltonjohn_americana_prompt6_dur25/level_0/item_4.wav,batch2
65,2021-06-10 03:55:59.974143,9SQCV03f2ge9SszK_PIE3Mp,9SQCV03f2ge9SszK,americana,elton john,jukebox/data/primes/mary_may2_dollyparton_americana_item_1_TRIMMED.wav,mary may,http://matlaberp2.media.mit.edu:8000/outputs/5/mary_may2_dollyparton_americana_item_1_TRIMMED_eltonjohn_americana_prompt6_dur25/level_0/item_5.wav,batch2
66,2021-06-10 03:56:00.097298,r74tzb1lELxuj0RO_BdTwvU,r74tzb1lELxuj0RO,rock,aerosmith,jukebox/data/primes/Nobide_CC13_justinbieber_classical_item_1_TRIMMED.wav,nobide,http://matlaberp2.media.mit.edu:8000/outputs/5/Nobide_CC13_justinbieber_classical_item_1_TRIMMED_aerosmith_rock_prompt6_dur25/level_0/item_0.wav,batch2
